canonical,name,region,type,population
"Chico, California, United States",Chico,California,City,121345
"North Stamford, Connecticut, United States",North Stamford,Connecticut,City,121230
"Hartford, Connecticut, United States",Hartford,Connecticut,City,121054
"Berkeley, California, United States",Berkeley,California,City,120972
"West Palm Beach, Florida, United States",West Palm Beach,Florida,City,120932
"Allentown, Pennsylvania, United States",Allentown,Pennsylvania,City,120207
"Evansville, Indiana, United States",Evansville,Indiana,City,119943
"Palm Bay, Florida, United States",Palm Bay,Florida,City,119760
"Fargo, North Dakota, United States",Fargo,North Dakota,City,118523
"Clearwater, Florida, United States",Clearwater,Florida,City,117292
"Independence, Missouri, United States",Independence,Missouri,City,117255
"Billings, Montana, United States",Billings,Montana,City,117116
"Ann Arbor, Michigan, United States",Ann Arbor,Michigan,City,117070
"El Monte, California, United States",El Monte,California,City,116732
"Harlem, New York, United States",Harlem,New York,City,116345
"Westminster, Colorado, United States",Westminster,Colorado,City,116317
"Round Rock, Texas, United States",Round Rock,Texas,City,115997
"Wilmington, North Carolina, United States",Wilmington,North Carolina,City,115933
"East Harlem, New York, United States",East Harlem,New York,City,115921
"Arvada, Colorado, United States",Arvada,Colorado,City,115368
"Beaumont, Texas, United States",Beaumont,Texas,City,115282
"Provo, Utah, United States",Provo,Utah,City,115162
"Peoria, Illinois, United States",Peoria,Illinois,City,115070
"Carlsbad, California, United States",Carlsbad,California,City,114746
"Odessa, Texas, United States",Odessa,Texas,City,114428
"Springfield, Illinois, United States",Springfield,Illinois,City,114394
"Downey, California, United States",Downey,California,City,114219
"Elmhurst, New York, United States",Elmhurst,New York,City,113364
"Costa Mesa, California, United States",Costa Mesa,California,City,113204
"Miami Gardens, Florida, United States",Miami Gardens,Florida,City,113187
"North Peoria, Illinois, United States",North Peoria,Illinois,City,113004
"Fairfield, California, United States",Fairfield,California,City,112970
"Lansing, Michigan, United States",Lansing,Michigan,City,112644
"Bushwick, New York, United States",Bushwick,New York,City,112620
"Gravesend, New York, United States",Gravesend,New York,City,112229
"Rochester, Minnesota, United States",Rochester,Minnesota,City,112225
"Elgin, Illinois, United States",Elgin,Illinois,City,112111
"West Jordan, Utah, United States",West Jordan,Utah,City,111946
"Inglewood, California, United States",Inglewood,California,City,111666
"Tuscaloosa, Alabama, United States",Tuscaloosa,Alabama,City,111338
"Richardson, Texas, United States",Richardson,Texas,City,110815
"Lowell, Massachusetts, United States",Lowell,Massachusetts,City,110699
"East Independence, Missouri, United States",East Independence,Missouri,City,110675
"Gresham, Oregon, United States",Gresham,Oregon,City,110553
"Antioch, California, United States",Antioch,California,City,110542
"Cambridge, Massachusetts, United States",Cambridge,Massachusetts,City,110402
"High Point, North Carolina, United States",High Point,North Carolina,City,110268
"Manchester, New Hampshire, United States",Manchester,New Hampshire,City,110229
"Temecula, California, United States",Temecula,California,City,110003
"Murrieta, California, United States",Murrieta,California,City,109830
"Centennial, Colorado, United States",Centennial,Colorado,City,109741
"Richmond, California, United States",Richmond,California,City,109708
"Corona, New York, United States",Corona,New York,City,109698
"Pueblo, Colorado, United States",Pueblo,Colorado,City,109412
"Pearland, Texas, United States",Pearland,Texas,City,108821
"Waterbury, Connecticut, United States",Waterbury,Connecticut,City,108802
"Greeley, Colorado, United States",Greeley,Colorado,City,108795
"West Covina, California, United States",West Covina,California,City,108484
"Enterprise, Nevada, United States",Enterprise,Nevada,City,108481
"North Charleston, South Carolina, United States",North Charleston,South Carolina,City,108304
"Everett, Washington, United States",Everett,Washington,City,108010
"College Station, Texas, United States",College Station,Texas,City,107889
"Pompano Beach, Florida, United States",Pompano Beach,Florida,City,107762
"South Fulton, Georgia, United States",South Fulton,Georgia,City,107436
"Norwalk, California, United States",Norwalk,California,City,107140
"Boulder, Colorado, United States",Boulder,Colorado,City,106803
"Broken Arrow, Oklahoma, United States",Broken Arrow,Oklahoma,City,106563
"Daly City, California, United States",Daly City,California,City,106562
"Sandy Springs, Georgia, United States",Sandy Springs,Georgia,City,105330
"Burbank, California, United States",Burbank,California,City,105319
"Green Bay, Wisconsin, United States",Green Bay,Wisconsin,City,105207
"Santa Maria, California, United States",Santa Maria,California,City,105093
"Universal City, California, United States",Universal City,California,City,105000
"Wichita Falls, Texas, United States",Wichita Falls,Texas,City,104710
"Lakeland, Florida, United States",Lakeland,Florida,City,104401
"Clovis, California, United States",Clovis,California,City,104180
"Lewisville, Texas, United States",Lewisville,Texas,City,104039
"Tyler, Texas, United States",Tyler,Texas,City,103700
"El Cajon, California, United States",El Cajon,California,City,103679
"San Mateo, California, United States",San Mateo,California,City,103536
"Brandon, Florida, United States",Brandon,Florida,City,103483
"Rialto, California, United States",Rialto,California,City,103132
"Davenport, Iowa, United States",Davenport,Iowa,City,102582
"Edison, New Jersey, United States",Edison,New Jersey,City,102548
"Hillsboro, Oregon, United States",Hillsboro,Oregon,City,102347
"Las Cruces, New Mexico, United States",Las Cruces,New Mexico,City,101643
"South Bend, Indiana, United States",South Bend,Indiana,City,101516
"Albany, New York, United States",Albany,New York,City,101228
"New Bedford, Massachusetts, United States",New Bedford,Massachusetts,City,101079
"Vista, California, United States",Vista,California,City,100890
"Davie, Florida, United States",Davie,Florida,City,100882
"Chinatown, California, United States",Chinatown,California,City,100574
"Renton, Washington, United States",Renton,Washington,City,100242
"Roanoke, Virginia, United States",Roanoke,Virginia,City,100011
"San Angelo, Texas, United States",San Angelo,Texas,City,99893
"Kenosha, Wisconsin, United States",Kenosha,Wisconsin,City,99858
"Clinton Township, Michigan, United States",Clinton Township,Michigan,City,99753
"Columbia, Maryland, United States",Columbia,Maryland,City,99615
"Erie, Pennsylvania, United States",Erie,Pennsylvania,City,99475
"Portsmouth Heights, Virginia, United States",Portsmouth Heights,Virginia,City,99049
"Richmond Hill, New York, United States",Richmond Hill,New York,City,98984
"Alief, Texas, United States",Alief,Texas,City,98725
"Spring Hill, Florida, United States",Spring Hill,Florida,City,98621
"Compton, California, United States",Compton,California,City,98462
"League City, Texas, United States",League City,Texas,City,98312
"Flint, Michigan, United States",Flint,Michigan,City,98310
"Allen, Texas, United States",Allen,Texas,City,98143
"Dorchester, Massachusetts, United States",Dorchester,Massachusetts,City,97826
"Mission Viejo, California, United States",Mission Viejo,California,City,97156
"Vacaville, California, United States",Vacaville,California,City,96803
"Ventura, California, United States",Ventura,California,City,96769
"Highlands Ranch, Colorado, United States",Highlands Ranch,Colorado,City,96713
"Lawton, Oklahoma, United States",Lawton,Oklahoma,City,96655
"Beaverton, Oregon, United States",Beaverton,Oregon,City,96577
"South Gate, California, United States",South Gate,California,City,96401
"Portsmouth, Virginia, United States",Portsmouth,Virginia,City,96201
"Sparks, Nevada, United States",Sparks,Nevada,City,96094
"Yuma, Arizona, United States",Yuma,Arizona,City,95548
"Brockton, Massachusetts, United States",Brockton,Massachusetts,City,95314
"Dearborn, Michigan, United States",Dearborn,Michigan,City,95171
"Federal Way, Washington, United States",Federal Way,Washington,City,95171
"Lee's Summit, Missouri, United States",Lee's Summit,Missouri,City,95094
"Asheville, North Carolina, United States",Asheville,North Carolina,City,95056
"Spokane Valley, Washington, United States",Spokane Valley,Washington,City,94919
"Fordham, New York, United States",Fordham,New York,City,94678
"Livonia, Michigan, United States",Livonia,Michigan,City,94635
"Roswell, Georgia, United States",Roswell,Georgia,City,94501
"Orem, Utah, United States",Orem,Utah,City,94457
"Fall River, Massachusetts, United States",Fall River,Massachusetts,City,94000
"Lawrence, Kansas, United States",Lawrence,Kansas,City,93917
"The Woodlands, Texas, United States",The Woodlands,Texas,City,93847
"West Albany, New York, United States",West Albany,New York,City,93794
"Yakima, Washington, United States",Yakima,Washington,City,93701
"Quincy, Massachusetts, United States",Quincy,Massachusetts,City,93618
"Flatbush, New York, United States",Flatbush,New York,City,93361
"Hesperia, California, United States",Hesperia,California,City,93295
"Carson, California, United States",Carson,California,City,93281
"Boca Raton, Florida, United States",Boca Raton,Florida,City,93235
"Santa Monica, California, United States",Santa Monica,California,City,93220
"San Marcos, California, United States",San Marcos,California,City,92931
"Boyle Heights, California, United States",Boyle Heights,California,City,92785
"Plantation, Florida, United States",Plantation,Florida,City,92560
"Lynn, Massachusetts, United States",Lynn,Massachusetts,City,92457
"Miami Beach, Florida, United States",Miami Beach,Florida,City,92312
"Arden-Arcade, California, United States",Arden-Arcade,California,City,92186
"Westminster, California, United States",Westminster,California,City,92114
"Longmont, Colorado, United States",Longmont,Colorado,City,92088
"Santa Barbara, California, United States",Santa Barbara,California,City,91842
